Ship_Length,Max_Speed,Engine_Noise,People_Capacity,Ship_Age,Ship_Type
419,42,4,2071,8,1
436,43,4,2197,3,1
267,36,4,5607,6,1
25,75,3,12,12,0
316,11,9,63,21,2
293,16,8,76,10,2
412,42,6,5566,4,1
264,39,6,2928,9,1
425,37,6,5526,8,1
309,46,6,4083,8,1
333,30,4,3485,7,1
382,41,6,2292,7,1
343,16,10,74,7,2
273,20,4,4792,7,1
28,78,3,9,13,0
254,22,7,18,34,2
27,66,3,7,2,0
412,26,5,3509,7,1
237,14,9,55,20,2
366,48,4,2319,2,1
331,13,9,29,29,2
204,13,7,15,30,2
407,27,6,3690,2,1
8,52,1,2,10,0
262,24,10,43,9,2
152,12,9,15,19,2
7,41,1,2,5,0
19,63,3,13,1,0
7,77,1,13,5,0
180,13,10,63,39,2
24,71,2,2,1,0
372,37,6,4225,3,1
24,64,3,10,3,0
21,83,1,7,1,0
409,45,4,1964,7,1
316,31,6,3944,9,1
363,47,6,4956,8,1
271,22,7,25,13,2
19,61,2,9,6,0
19,88,2,2,2,0
6,71,3,5,8,0
349,37,5,2811,5,1
390,20,5,4020,5,1
28,43,1,9,10,0
24,44,3,9,4,0
239,13,7,20,7,2
434,25,5,3429,9,1
296,15,8,68,28,2
275,48,4,2784,7,1
12,64,3,10,5,0
254,37,4,3639,9,1
18,48,3,2,12,0
265,32,5,4638,4,1
306,10,10,28,33,2
21,78,2,14,4,0
236,10,8,37,23,2
348,28,6,5062,6,1
299,10,9,57,31,2
21,47,3,14,2,0
159,11,8,79,33,2
288,21,9,33,7,2
240,12,7,47,23,2
21,51,1,11,13,0
11,52,2,9,3,0
295,21,5,3450,4,1
394,24,10,30,39,2
294,21,7,57,12,2
261,34,5,2021,4,1
278,31,4,1948,4,1
267,17,7,66,18,2
375,41,5,4767,7,1
28,60,3,2,3,0
6,69,3,11,6,0
317,19,7,58,17,2
16,69,1,2,10,0
342,15,8,17,34,2
402,30,4,1975,7,1
253,21,6,2382,8,1
11,84,2,12,12,0
315,16,8,73,12,2
8,46,2,13,2,0
16,69,1,9,7,0
392,16,7,26,5,2
402,28,5,4478,6,1
9,76,1,3,10,0
382,34,5,3716,1,1
6,63,1,8,12,0
194,24,7,57,37,2
26,41,2,11,9,0
218,23,7,62,33,2
196,22,7,71,5,2
231,12,7,30,17,2
24,84,1,2,2,0
184,11,8,70,14,2
312,24,8,67,19,2
217,10,10,56,38,2
289,29,4,5006,3,1
7,58,1,14,13,0
402,47,5,2036,8,1
28,86,3,7,13,0
198,13,10,49,35,2
25,89,2,7,14,0
405,49,5,3696,2,1
324,20,4,3659,4,1
13,52,1,6,9,0
337,10,9,67,17,2
332,23,7,10,39,2
257,13,9,62,36,2
20,56,1,10,11,0
286,41,6,2355,4,1
363,24,10,51,14,2
7,40,3,4,5,0
12,53,2,12,7,0
16,48,2,12,1,0
305,11,9,15,7,2
27,85,1,2,2,0
379,19,7,19,7,2
325,38,6,1924,8,1
282,40,6,4046,5,1
359,14,7,64,31,2
23,71,2,7,10,0
241,14,9,38,32,2
308,47,6,4067,5,1
260,26,5,3630,1,1
333,47,6,3679,3,1
263,24,5,1960,1,1
14,87,1,2,1,0
258,39,4,5756,5,1
200,20,10,68,29,2
296,27,4,3264,9,1
358,21,4,5488,9,1
274,48,5,4063,4,1
346,20,10,60,32,2
286,19,9,36,30,2
399,11,9,78,34,2
5,48,1,14,12,0
20,84,1,4,13,0
13,70,2,12,6,0
20,74,2,8,12,0
20,41,3,12,1,0
273,17,7,63,22,2
208,13,8,24,13,2
435,41,5,1647,6,1
311,35,5,5768,8,1
324,16,9,67,13,2
230,18,7,27,22,2
11,64,2,11,3,0
6,87,2,12,1,0
433,41,5,5350,9,1
285,17,9,26,9,2
271,34,6,2146,2,1
360,24,9,18,13,2
409,33,4,4800,1,1
29,88,3,11,10,0
330,22,5,5682,9,1
311,23,9,35,32,2
6,47,1,9,8,0
325,19,10,52,12,2
266,49,5,5583,4,1
323,46,6,2319,3,1
19,85,3,11,3,0
8,57,1,6,1,0
331,39,5,3885,1,1
388,14,8,78,19,2
317,14,8,41,11,2
189,10,9,41,19,2
326,33,5,5744,6,1
399,23,10,12,13,2
20,74,3,7,7,0
383,29,5,1522,6,1
415,33,6,3585,9,1
200,17,7,77,25,2
28,62,2,7,11,0
302,21,8,77,18,2
13,72,2,5,6,0
313,17,8,63,33,2
290,18,10,35,19,2
13,85,1,9,8,0
372,11,8,78,31,2
155,23,10,52,7,2
412,39,5,4690,3,1
407,33,5,3460,6,1
237,14,8,32,28,2
15,69,3,3,2,0
353,17,7,38,10,2
236,14,10,55,32,2
305,20,4,5397,4,1
10,72,1,8,14,0
242,24,9,41,32,2
221,10,8,62,25,2
407,24,4,1538,2,1
9,74,3,9,2,0
262,15,7,44,28,2
259,47,5,5994,5,1
8,73,2,5,11,0
264,25,6,4447,9,1
314,16,10,63,30,2
211,11,10,69,5,2
276,13,10,13,26,2
194,11,8,49,36,2
233,18,8,34,7,2
250,48,4,3328,6,1
11,44,2,5,11,0
347,11,10,12,15,2
407,48,4,3921,9,1
20,51,2,3,7,0
5,40,1,14,11,0
288,24,4,4581,3,1
5,51,3,8,14,0
256,15,9,35,16,2
5,67,3,14,7,0
299,22,9,52,27,2
27,53,2,2,5,0
332,11,9,53,22,2
216,15,9,17,9,2
337,25,6,1956,2,1
164,16,8,20,13,2
170,10,7,37,37,2
25,66,2,4,8,0
317,29,5,2045,6,1
291,22,7,27,17,2
6,83,2,7,2,0
264,34,5,4310,8,1
17,44,3,12,9,0
441,39,4,5830,1,1
338,17,10,50,10,2
160,12,7,72,16,2
153,10,7,26,24,2
294,37,5,5339,2,1
20,46,1,14,11,0
311,25,5,5573,5,1
12,89,2,4,7,0
271,47,4,2986,9,1
5,88,2,6,4,0
397,31,4,3138,8,1
222,12,10,16,33,2
256,32,6,2014,3,1
249,17,10,48,14,2
341,36,5,5483,6,1
267,22,4,5931,7,1
394,16,10,66,22,2
308,29,4,1899,7,1
288,45,4,3453,2,1
11,78,2,6,5,0
265,19,9,64,5,2
225,22,8,20,7,2
28,63,1,3,2,0
6,58,1,12,10,0
436,42,4,3779,5,1
294,21,5,5812,1,1
5,67,3,4,1,0
6,70,2,12,11,0
24,62,1,3,10,0
399,25,5,5368,4,1
322,47,4,4057,6,1
309,11,10,28,6,2
359,17,8,32,20,2
337,21,4,4536,7,1
5,63,1,10,12,0
26,75,1,7,3,0
261,26,4,4081,3,1
295,43,4,2636,9,1
242,18,7,77,14,2
398,13,7,27,8,2
271,30,5,4113,3,1
324,24,7,71,23,2
256,23,10,77,12,2
196,12,7,59,14,2
430,41,5,2269,3,1
22,62,1,6,8,0
14,52,3,11,2,0
321,17,7,14,25,2
311,45,5,5476,7,1
334,22,8,10,19,2
7,64,2,10,4,0
310,34,6,2400,7,1
7,72,3,7,7,0
429,43,4,2876,2,1
16,76,3,5,14,0
333,44,6,1813,2,1
388,12,10,40,30,2
314,23,9,33,36,2
17,61,2,3,3,0
297,14,10,50,32,2
16,74,2,8,3,0
6,72,2,12,3,0
357,41,5,3189,6,1
214,22,10,23,33,2
323,14,8,42,5,2
7,87,1,2,11,0
379,39,5,3781,9,1
359,22,4,4792,5,1
257,33,4,4462,1,1
234,12,8,60,23,2
356,45,5,2151,6,1
6,80,3,3,10,0
436,28,4,4219,9,1
310,23,9,63,33,2
289,23,6,2620,3,1
22,85,3,7,3,0
195,14,7,50,5,2
397,43,5,5851,3,1
419,29,5,1869,5,1
310,24,10,42,19,2
286,48,6,1801,8,1
297,16,7,38,34,2
13,54,1,10,12,0
310,10,7,25,5,2
278,42,5,2202,8,1
225,14,7,15,11,2
370,20,4,5103,3,1
392,37,4,2042,6,1
21,76,3,12,1,0
178,12,8,74,36,2
258,47,6,5216,2,1
5,87,2,9,1,0
28,83,2,2,8,0
29,56,2,5,6,0
29,45,3,9,2,0
20,82,1,2,1,0
170,22,8,73,25,2
408,22,5,3216,1,1
321,40,4,4313,4,1
10,60,3,10,12,0
350,23,10,43,33,2
295,27,4,5540,9,1
16,59,2,14,6,0
312,39,5,2159,3,1
341,10,10,49,21,2
372,32,6,4172,2,1
350,30,4,2093,1,1
166,21,10,28,9,2
16,85,1,7,3,0
22,51,1,10,12,0
367,12,7,22,29,2
276,24,4,4583,1,1
294,38,6,1907,8,1
251,27,6,4859,5,1
320,22,7,50,14,2
19,81,1,13,6,0
24,72,3,5,5,0
26,89,1,4,8,0
380,46,5,1726,8,1
197,21,9,59,12,2
305,17,10,28,16,2
15,49,1,4,14,0
177,23,10,28,38,2
324,19,7,22,5,2
307,29,4,5227,7,1
17,51,1,4,7,0
443,22,6,2435,7,1
346,23,6,4923,4,1
328,41,6,2804,4,1
303,22,7,68,24,2
181,12,9,36,20,2
216,15,8,36,12,2
444,38,5,4691,7,1
10,44,3,11,2,0
446,31,5,2513,8,1
295,13,8,60,5,2
314,38,4,5759,2,1
190,16,7,37,26,2
10,78,2,4,7,0
373,32,6,4701,8,1
288,18,9,12,27,2
430,29,5,5687,5,1
437,31,5,4859,2,1
211,10,9,58,15,2
25,83,1,4,12,0
228,10,7,66,30,2
287,42,4,2214,4,1
262,41,5,4542,6,1
161,20,10,63,26,2
362,35,6,4337,1,1
307,39,4,3523,7,1
214,13,9,50,36,2
26,75,3,5,2,0
439,41,4,4464,9,1
368,27,4,5467,5,1
258,11,9,76,22,2
447,38,5,5426,6,1
28,68,2,9,14,0
9,69,2,6,14,0
295,18,8,78,31,2
276,10,8,31,38,2
341,14,10,28,9,2
282,30,5,3566,7,1
322,27,6,5224,8,1
394,15,10,42,8,2
27,67,3,11,6,0
22,72,3,12,7,0
338,20,8,79,37,2
13,74,2,7,3,0
28,65,2,10,10,0
369,44,6,4030,4,1
29,58,3,7,4,0
24,62,3,7,2,0
12,53,1,10,7,0
201,21,8,25,21,2
255,34,5,2904,4,1
411,28,4,2580,3,1
177,24,10,79,6,2
262,23,10,28,9,2
15,69,2,5,12,0
354,21,10,48,5,2
397,26,5,3151,6,1
323,32,4,2756,3,1
8,85,2,8,13,0
290,15,8,36,27,2
322,12,10,31,39,2
321,38,6,4349,4,1
9,67,3,12,10,0
23,71,3,5,8,0
12,77,1,12,2,0
23,65,1,7,5,0
225,11,9,75,36,2
15,66,1,6,14,0
168,15,7,32,27,2
9,46,2,3,7,0
323,24,10,45,19,2
437,23,4,3113,8,1
24,75,1,6,11,0
276,24,5,5459,3,1
218,16,10,47,16,2
198,12,8,68,18,2
448,25,6,4044,6,1
333,25,4,3336,5,1
356,14,7,13,23,2
254,15,8,37,36,2
7,86,3,7,6,0
329,43,5,3989,8,1
317,34,4,2548,9,1
425,43,5,2531,8,1
388,48,6,5595,7,1
235,14,8,22,38,2
7,79,1,11,3,0
248,13,7,44,26,2
23,88,2,11,13,0
17,44,2,5,13,0
12,40,1,3,11,0
157,11,8,56,15,2
295,24,9,53,13,2
10,49,3,13,9,0
5,76,1,13,1,0
170,23,7,52,19,2
350,31,5,2624,8,1
27,59,3,6,8,0
342,46,4,2367,3,1
153,13,8,79,31,2
321,20,9,61,6,2
365,12,10,52,37,2
20,48,2,9,2,0
360,22,5,3960,9,1
28,60,3,8,8,0
13,79,1,6,2,0
309,41,4,4968,9,1
26,68,3,6,7,0
155,13,8,76,10,2
13,44,1,9,9,0
258,11,8,75,10,2
278,30,4,2422,5,1
28,82,3,3,8,0
18,65,2,11,14,0
206,19,10,75,34,2
5,71,1,10,1,0
19,68,1,4,10,0
375,31,6,2519,2,1
302,21,9,75,5,2
177,18,7,68,21,2
28,43,3,9,9,0
285,16,9,31,37,2
242,17,9,64,36,2
417,39,6,2272,8,1
262,30,4,5937,3,1
187,24,7,71,32,2
379,15,7,29,25,2
312,27,5,2882,5,1
369,14,7,70,38,2
349,23,4,4493,7,1
369,26,4,2267,3,1
444,34,5,3756,6,1
441,30,4,3566,9,1
19,71,1,8,5,0
9,71,1,4,8,0
15,46,3,6,10,0
12,47,1,4,14,0
8,81,3,2,7,0
225,20,7,78,21,2
326,15,7,67,32,2
358,15,8,30,19,2
157,23,9,71,34,2
275,24,10,14,27,2
18,87,1,2,10,0
15,80,2,10,7,0
275,12,9,58,36,2
11,72,1,3,9,0
11,61,2,7,1,0
391,31,6,4446,9,1
425,49,6,5793,4,1
255,28,6,3544,3,1
389,20,4,5985,6,1
224,23,8,19,15,2
442,44,6,5178,2,1
311,22,6,4211,1,1
226,21,8,33,34,2
11,73,1,12,1,0
385,20,10,17,15,2
9,84,3,2,6,0
339,25,4,3747,8,1
301,16,10,22,13,2
264,21,6,5783,3,1
330,24,6,2537,7,1
29,78,2,6,5,0
273,10,7,77,25,2
340,20,10,30,33,2
317,12,9,26,15,2
297,49,4,5194,8,1
373,24,8,15,26,2
326,20,9,35,8,2
13,58,1,12,10,0
236,24,7,50,32,2
24,61,1,5,14,0
11,61,2,4,9,0
277,28,4,4771,1,1
351,19,10,60,20,2
308,31,6,3073,5,1
169,23,8,20,19,2
21,78,3,13,7,0
446,46,4,5076,2,1
257,22,7,62,33,2
380,43,6,4474,5,1
5,58,3,8,10,0
15,83,3,9,11,0
12,76,2,14,6,0
11,62,2,2,4,0
20,52,1,5,12,0
364,48,5,3168,3,1
443,40,6,5906,9,1
262,47,4,2746,9,1
387,12,7,70,27,2
438,24,6,3820,3,1
342,36,4,4759,4,1
317,44,5,2161,8,1
150,12,9,46,14,2
420,20,4,5849,4,1
214,14,9,47,38,2
192,21,9,31,14,2
289,36,4,3174,2,1
406,31,5,4637,4,1
7,86,2,13,7,0
27,58,1,14,14,0
328,22,7,64,13,2
29,50,2,8,14,0
24,63,1,8,9,0
295,37,4,3326,3,1
15,49,3,3,12,0
16,64,1,6,13,0
310,49,6,5638,9,1
296,43,5,5395,5,1
319,24,5,3067,6,1
24,51,1,12,10,0
25,77,1,9,6,0
24,40,3,14,10,0
172,17,10,15,6,2
204,17,10,43,33,2
225,21,7,53,23,2
433,24,5,4134,8,1
280,23,7,74,26,2
9,68,1,2,2,0
343,19,7,45,29,2
356,25,4,1919,7,1
307,13,9,43,11,2
13,63,1,11,8,0
27,89,3,14,10,0
11,55,1,6,13,0
426,37,4,4145,1,1
351,10,10,15,25,2
386,21,10,77,11,2
281,15,10,35,31,2
350,20,8,59,5,2
14,81,2,7,3,0
328,47,6,4208,5,1
16,62,3,9,13,0
29,86,1,5,3,0
389,18,9,66,34,2
14,87,1,11,9,0
7,43,2,9,11,0
253,49,4,3355,9,1
447,39,5,4210,4,1
27,65,3,13,13,0
340,49,5,5994,3,1
23,65,3,2,9,0
409,27,6,2060,6,1
13,84,2,14,5,0
285,21,10,19,37,2
26,44,2,8,7,0
172,19,8,68,17,2
16,65,3,12,1,0
28,68,2,4,13,0
347,37,5,5304,5,1
212,11,8,78,16,2
27,70,2,7,8,0
372,46,5,4584,6,1
433,42,6,4101,6,1
28,74,3,4,6,0
19,59,1,9,4,0
6,85,1,13,2,0
305,20,8,51,21,2
29,72,2,9,11,0
312,26,5,2189,5,1
14,80,2,3,13,0
331,32,4,5483,7,1
365,22,10,78,25,2
338,36,6,1859,4,1
7,64,1,10,2,0
176,10,7,54,32,2
402,45,4,2679,2,1
395,35,4,4029,6,1
288,20,6,3820,6,1
331,19,9,17,13,2
20,62,3,10,12,0
25,68,3,13,1,0
254,15,10,72,30,2
161,10,7,44,17,2
16,72,2,4,10,0
371,10,9,48,17,2
255,45,6,2062,3,1
161,16,9,36,13,2
10,88,1,12,5,0
8,79,3,6,2,0
18,55,1,3,1,0
187,24,10,11,24,2
354,31,6,4993,2,1
188,23,10,22,23,2
214,20,10,66,7,2
24,75,2,13,5,0
27,67,3,11,4,0
348,49,5,5981,5,1
29,69,3,11,5,0
347,31,5,1865,9,1
190,19,10,76,26,2
402,45,6,1892,6,1
10,63,2,9,11,0
17,61,1,6,2,0
8,70,3,7,3,0
15,73,2,10,6,0
270,18,9,50,23,2
21,74,1,7,7,0
328,31,5,5388,9,1
276,12,7,74,36,2
442,20,5,5179,4,1
273,24,8,77,15,2
200,23,9,75,32,2
304,40,5,1761,5,1
252,12,10,47,14,2
272,26,4,5785,5,1
29,55,1,6,3,0
29,81,3,9,10,0
23,88,1,5,7,0
151,15,7,34,19,2
423,24,6,1661,6,1
303,27,4,3049,9,1
8,70,3,14,12,0
344,20,10,21,27,2
24,74,1,2,7,0
421,49,5,1931,9,1
12,66,3,2,5,0
299,22,6,5683,6,1
266,19,8,58,22,2
13,41,2,9,1,0
23,44,1,7,14,0
352,27,6,5861,4,1
24,86,1,4,14,0
28,50,2,11,3,0
378,24,7,25,33,2
428,35,5,1861,8,1
394,20,5,2093,5,1
18,47,1,5,10,0
289,26,4,3450,7,1
186,15,9,24,29,2
367,44,6,1782,3,1
315,14,10,51,17,2
407,25,4,5725,4,1
29,42,1,13,8,0
258,24,9,69,34,2
339,14,10,74,33,2
441,24,5,3825,5,1
426,43,5,1594,3,1
26,68,1,2,5,0
19,61,2,13,12,0
288,31,4,2280,7,1
341,24,4,3537,9,1
278,33,6,4729,3,1
318,14,8,52,6,2
190,16,7,50,36,2
22,88,3,10,6,0
239,10,10,16,18,2
7,57,3,2,8,0
342,12,9,43,6,2
298,47,4,2345,7,1
253,21,10,42,15,2
422,36,4,1737,8,1
210,20,8,31,21,2
375,31,5,4989,2,1
200,12,8,48,11,2
5,74,1,6,1,0
261,42,6,5086,9,1
5,56,3,10,9,0
184,10,7,54,8,2
382,31,6,2275,6,1
21,89,3,6,7,0
190,15,9,57,29,2
9,82,1,7,11,0
29,75,1,6,11,0
8,65,2,3,13,0
194,17,7,70,7,2
11,62,2,10,7,0
25,51,2,2,7,0
21,52,2,8,11,0
5,70,2,11,3,0
398,18,9,73,32,2
6,64,3,11,12,0
25,42,3,12,5,0
409,38,6,5247,6,1
390,20,7,29,38,2
307,24,10,78,28,2
27,40,1,8,2,0
338,28,4,5778,2,1
313,45,5,4130,9,1
283,43,4,1905,4,1
302,38,4,5655,8,1
151,10,10,56,6,2
291,18,10,10,26,2
16,85,1,5,12,0
23,47,3,14,1,0
448,37,4,4310,1,1
14,42,3,8,12,0
349,23,7,71,6,2
423,29,6,2014,3,1
347,29,6,4743,4,1
374,22,5,3855,1,1
194,24,7,43,33,2
327,21,10,39,29,2
255,22,10,36,25,2
150,16,10,66,27,2
326,12,7,39,37,2
25,69,3,6,4,0
28,71,1,4,14,0
17,54,1,12,4,0
29,71,3,7,3,0
8,68,2,4,11,0
276,29,4,4890,1,1
213,10,10,33,24,2
5,62,3,3,5,0
262,45,5,3730,5,1
11,74,3,4,8,0
5,55,3,6,7,0
379,21,9,76,32,2
168,14,9,26,36,2
23,62,1,10,6,0
16,41,3,5,4,0
425,39,5,5723,9,1
12,43,1,14,1,0
233,12,7,61,7,2
321,42,6,2108,5,1
252,25,6,1663,9,1
371,48,4,2669,2,1
427,30,5,1741,1,1
25,41,3,8,6,0
311,12,8,48,15,2
233,11,10,74,28,2
221,19,7,45,22,2
342,36,5,3648,9,1
396,34,6,2543,1,1
281,11,8,29,19,2
9,88,3,6,11,0
12,88,1,4,8,0
343,22,7,66,33,2
21,56,2,7,7,0
364,22,7,59,37,2
233,22,7,68,17,2
269,14,9,31,17,2
5,49,2,2,5,0
292,11,9,77,21,2
256,21,6,3140,6,1
424,20,4,5254,3,1
269,39,5,3793,4,1
390,32,5,1743,1,1
299,40,5,2632,4,1
21,51,3,7,13,0
22,89,2,11,4,0
309,24,5,3648,9,1
243,12,9,24,16,2
240,19,9,68,20,2
296,13,10,79,36,2
369,21,5,5582,7,1
24,61,1,8,5,0
11,55,2,5,8,0
302,24,10,36,34,2
23,55,2,12,14,0
322,22,7,43,37,2
8,72,2,7,1,0
375,20,8,55,26,2
395,37,4,1578,5,1
17,60,2,14,10,0
7,45,2,9,2,0
338,17,9,29,5,2
367,21,7,68,7,2
394,36,4,5037,2,1
382,21,8,30,29,2
266,42,5,2826,3,1
387,46,5,5808,9,1
250,18,9,38,18,2
26,56,2,7,3,0
12,55,2,14,4,0
345,17,9,38,22,2
441,33,4,2185,5,1
306,16,8,75,32,2
373,37,4,3952,6,1
430,21,5,5778,4,1
312,14,8,71,26,2
271,24,9,19,11,2
21,49,2,9,4,0
22,81,1,4,1,0
24,75,1,12,9,0
415,42,4,3948,5,1
224,15,7,71,20,2
301,21,7,22,20,2
26,74,2,9,3,0
278,44,5,5700,2,1
194,19,7,71,29,2
25,87,3,5,3,0
445,20,4,3994,8,1
337,33,6,3660,3,1
237,17,7,76,22,2
8,82,3,14,7,0
353,42,4,3961,9,1
419,21,4,2942,9,1
9,73,1,2,2,0
5,58,3,5,6,0
374,23,8,18,30,2
348,14,10,13,23,2
11,40,1,5,4,0
280,25,5,5714,8,1
433,44,5,5419,1,1
391,33,4,5335,2,1
10,84,1,9,3,0
246,14,8,78,11,2
16,42,1,6,4,0
175,11,8,50,10,2
247,22,8,14,21,2
370,20,5,1572,5,1
394,23,4,2171,2,1
7,84,3,12,3,0
268,17,9,66,23,2
373,40,6,2288,4,1
252,28,6,3008,1,1
23,55,2,14,7,0
365,44,6,4047,1,1
333,13,9,48,26,2
356,43,5,5219,8,1
12,74,3,13,11,0
404,40,6,5132,3,1
337,11,10,21,10,2
372,12,9,50,19,2
183,16,7,16,30,2
418,39,5,4791,7,1
313,15,9,32,36,2
381,22,10,65,39,2
254,27,6,5397,1,1
195,15,8,76,13,2
304,17,10,72,34,2
158,15,10,13,25,2
7,78,2,5,1,0
448,37,4,5785,8,1
380,44,6,2330,9,1
439,34,6,4787,3,1
217,12,9,24,29,2
316,22,8,61,7,2
252,28,4,2633,1,1
386,32,5,1516,3,1
274,32,6,1741,3,1
413,31,4,3224,4,1
342,48,5,4588,4,1
22,67,2,9,5,0
296,19,8,45,20,2
205,16,10,72,7,2
